title,author(s),average_rating,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,genres
the mother tongue: english and how it got that way,bill bryson,3.93,9780380715435,eng,270,28489,2085,9/28/1991,William Morrow Paperbacks,"['history', 'language']"
j.r.r. tolkien 4-book boxed set: the hobbit and the lord of the rings,j.r.r. tolkien,4.59,9780345538376,eng,1728,101233,1550,9/25/2012,Ballantine Books,[]
the lord of the rings (the lord of the rings  #1-3),j.r.r. tolkien,4.5,9780618517657,eng,1184,1710,91,10/21/2004,Houghton Mifflin Harcourt,"['fiction', 'english literature']"
the fellowship of the ring (the lord of the rings  #1),j.r.r. tolkien,4.36,9780618346257,eng,398,2128944,13670,9/5/2003,Houghton Mifflin Harcourt,"['elves', 'fiction', 'fantasy', 'fairy tales', 'english literature', 'roman']"
the lord of the rings (the lord of the rings  #1-3),j.r.r. tolkien/alan  lee,4.5,9780618260584,en-US,1216,1618,140,10/1/2002,Houghton Mifflin Harcourt,"['fiction', 'english literature']"
the lord of the rings: weapons and warfare,chris   smith/christopher  lee/richard taylor,4.53,9780618391004,eng,218,19822,46,11/5/2003,Houghton Mifflin Harcourt,['geography']
the lord of the rings: complete visual companion,jude fisher,4.5,9780618510825,eng,224,359,6,11/15/2004,Houghton Mifflin Harcourt,[]
agile web development with rails: a pragmatic guide,dave thomas/david heinemeier hansson/leon breedt/mike clark/thomas  fuchs/andreas  schwarz,3.84,9780976694007,eng,558,1430,59,7/28/2005,Pragmatic Bookshelf,[]
hatchet (brian's saga  #1),gary paulsen,3.72,9780689840920,eng,208,270244,12017,4/1/2000,Atheneum Books for Young Readers: Richard Jackson Books,"['divorce', 'survival', 'fiction', 'juvenile', 'young adult', 'literature', 'faith', 'birds', 'wildlife', 'family']"
"hatchet: a guide for using ""hatchet"" in the classroom",donna ickes/edward sciranko/keith vasconcelles,4.0,9781557344496,eng,48,36,2,8/28/1994,Teacher Created Resources,[]
guts: the true stories behind hatchet and the brian books,gary paulsen,3.88,9780385326506,eng,144,2067,334,1/23/2001,Delacorte Press,['biography']
molly hatchet - 5 of the best,molly hatchet,4.33,9781575606248,eng,56,6,0,6/10/2003,Cherry Lane Music Company,[]
hatchet jobs: writings on contemporary fiction,dale peck,3.45,9781595580276,en-US,228,99,16,11/1/2005,The New Press,[]
a changeling for all seasons (changeling seasons #1),angela knight/sahara kelly/judy mays/marteeka karland/kate douglas/shelby morgen/lacey savage/kate hill/willa okati,3.76,9781595962805,eng,304,167,4,11/1/2005,Changeling Press,[]
changeling (changeling  #1),delia sherman,3.6,9780670059676,eng,256,978,111,8/17/2006,Viking Juvenile,"['fantasy', 'fiction']"
the changeling sea,patricia a. mckillip,4.06,9780141312620,eng,137,4454,302,4/14/2003,Firebird,"['fantasy', 'fiction', 'magic']"
the changeling,zilpha keatley snyder,4.17,9780595321803,eng,228,1176,96,6/8/2004,iUniverse,['fiction']
the changeling,kate horsley,3.55,9781590301944,eng,339,301,43,4/12/2005,Shambhala,['fiction']
the changeling (daughters of england  #15),philippa carr,3.98,9780449146972,eng,369,345,12,8/28/1990,Ivy Books,"['fiction', 'history']"
the known world,edward p. jones,3.83,9780061159176,eng,388,29686,2626,8/29/2006,Amistad,"['fiction', 'historical fiction']"
the known world,edward p. jones/kevin r. free,3.83,9780060762735,en-US,14,55,12,6/15/2004,HarperAudio,"['fiction', 'historical fiction']"
traders  guns & money: knowns and unknowns in the dazzling world of derivatives,satyajit das,3.83,9780273704744,eng,334,1456,82,5/15/2006,FT Press,[]
artesia: adventures in the known world,mark smylie,4.13,9781932386103,eng,352,52,4,12/14/2005,Archaia,['video games']
the john mcphee reader (john mcphee reader  #1),john mcphee/william howarth,4.42,9780374517199,eng,416,562,37,6/1/1982,Farrar  Straus and Giroux,[]
uncommon carriers,john mcphee,3.95,9780374280390,en-US,248,1630,203,5/16/2006,Farrar Straus Giroux,['travel']
heirs of general practice,john mcphee,4.17,9780374519742,eng,128,268,22,4/1/1986,Farrar  Straus and Giroux,['medicine']
the control of nature,john mcphee,4.24,9780374522599,en-US,288,3498,305,9/1/1990,Farrar  Straus and Giroux,['nature']
annals of the former world,john mcphee,4.34,9780374518738,eng,720,3115,228,1/6/1999,Farrar  Straus and Giroux,['geology']
coming into the country,john mcphee,4.22,9780374522872,eng,448,5704,261,4/1/1991,Farrar  Straus and Giroux,"['travel', 'history']"
la place de la concorde suisse,john mcphee,3.92,9780374519322,fre,160,698,52,4/1/1994,Farrar  Straus and Giroux,[]
giving good weight,john mcphee,4.23,9780374516000,eng,288,542,36,4/1/1994,Farrar  Straus and Giroux,"['short stories', 'essays']"
rising from the plains,john mcphee,4.23,9780374520656,eng,208,1341,98,11/1/1987,Farrar  Straus and Giroux,[]
the heidi chronicles,wendy wasserstein,3.75,9780822205104,eng,81,1423,70,3/1/2002,Dramatists Play Service,['drama']
the heidi chronicles: uncommon women and others & isn't it romantic,wendy wasserstein,3.84,9780679734994,eng,249,2766,64,7/2/1991,Vintage,['drama']
active literacy across the curriculum: strategies for reading  writing  speaking  and listening,heidi hayes jacobs,3.94,9781596670235,eng,138,31,1,3/29/2006,Routledge,[]
simply beautiful beaded jewelry,heidi boyd,3.77,9781581807745,en-US,128,62,4,3/14/2006,North Light Books,"['crafts', 'nonfiction']"
always enough: god's miraculous provision among the poorest children on earth,heidi baker/rolland baker,4.46,9780800793616,eng,192,860,53,9/1/2003,Chosen Books,['biography']
mapping the big picture: integrating curriculum & assessment k-12,heidi hayes jacobs,3.68,9780871202864,en-US,108,77,2,1/28/1997,Association for Supervision & Curriculum Development,[]
heidi (heidi  #1-2),johanna spyri/beverly cleary/angelo  rinaldi,3.99,9780753454947,eng,352,153317,2257,11/15/2002,Kingfisher,"['juvenile', 'adult', 'fiction', 'literature', 'picture books', 'chapter books', 'family', 'nature', 'history', 'short stories', 'classics', 'classic literature', 'historical fiction']"
getting results with curriculum mapping,heidi hayes jacobs,3.25,9780871209993,eng,192,55,5,11/15/2004,ASCD,[]
there's always enough: the miraculous move of god in mozambique,rolland baker/heidi baker,4.46,9781852402877,eng,192,34,6,4/28/2003,Sovereign World,[]
what to expect the first year (what to expect),heidi murkoff/sharon mazel/arlene eisenberg/sandee hathaway/mark d. widome,3.89,9780761129585,eng,832,11797,659,10/16/2003,Workman Publishing Company,[]
the player's handbook: the ultimate guide on dating and relationships,heidi fleiss/libby keatinge,3.82,9780972016414,eng,123,34,8,5/10/2004,One Hour Entertainment,[]
simply beautiful beading: 53 quick and easy projects,heidi boyd,3.78,9781581805635,en-US,128,78,4,8/19/2004,North Light Books,"['nonfiction', 'crafts']"
god emperor of dune (dune chronicles  #4),frank herbert,3.84,9780441294671,eng,423,2785,166,6/15/1987,Ace Books,"['fiction', 'science fiction', 'roman']"
chapterhouse: dune (dune chronicles #6),frank herbert,3.91,9780441102679,eng,436,38778,568,7/1/1987,Ace Books,"['fiction', 'science fiction', 'literature']"
dune messiah (dune chronicles #2),frank herbert,3.88,9780441172696,eng,331,97494,2359,7/15/1987,Ace Books,"['fiction', 'science fiction']"
dreamer of dune: the biography of frank herbert,brian herbert,4.01,9780765306470,en-US,592,784,21,7/1/2004,Tor Books,"['science fiction', 'biography']"
heretics of dune (dune chronicles  #5),frank herbert,3.86,9780399128981,eng,480,272,20,4/16/1984,Putnam,"['science fiction', 'fiction']"
the road to dune,frank herbert/brian herbert/kevin j. anderson,3.88,9780765353702,eng,426,4789,83,8/29/2006,Tor Science Fiction,['science fiction']
heretics of dune (dune chronicles #5),frank herbert,3.86,9780441328000,eng,471,45388,644,8/15/1987,Ace Books,"['science fiction', 'fiction']"
the lord of the rings: the art of the fellowship of the ring,gary russell,4.59,9780618212903,eng,192,26153,102,6/12/2002,Houghton Mifflin Harcourt,[]
the power of one (the power of one  #1),bryce courtenay,4.35,9780345410054,eng,544,69167,4551,9/29/1996,Ballantine Books,"['fiction', 'history', 'historical fiction', 'sports', 'south africa']"
the power of one: one person  one rule  one month,john c. maxwell/stephen r. graves/thomas g. addington,4.28,9780785260059,en-US,256,16,1,11/1/2004,Thomas Nelson,[]
power of an hour: business and life mastery in one hour a week,dave lakhani,3.34,9780471780939,eng,205,174,16,5/19/2006,Wiley,"['business', 'nonfiction']"
the power of one: the solo play for playwrights  actors  and directors,louis e. catron,3.67,9780325001531,eng,240,10,0,2/7/2000,Heinemann Drama,[]
how to buy  sell & profit on ebay: kick-start your home-based business in just thirty days,adam ginsberg,3.48,9780060762872,eng,336,76,9,5/3/2005,William Morrow Paperbacks,['management']
ebay for dummies,marsha collier,3.5,9780470045299,eng,386,111,9,10/30/2006,Wiley,[]
what to sell on ebay and where to get it: the definitive guide to product sourcing for ebay and beyond,chris malta/lisa suttora,3.62,9780072262780,eng,260,24,0,1/24/2006,McGraw-Hill,"['business', 'nonfiction']"
starting an ebay business for dummies,marsha collier,3.55,9780764569241,eng,384,55,4,9/17/2004,Wiley,[]
ebay: top 100 simplified tips & tricks,julia wilkinson,4.27,9780471933823,eng,260,9,0,6/6/2006,Wiley,[]
ebay timesaving techniques for dummies,marsha collier,3.39,9780764559914,en-US,391,22,1,5/31/2004,Wiley,['nonfiction']
ebay business all-in-one desk reference for dummies,marsha collier,3.89,9780764584381,en-US,864,17,3,4/25/2005,Wiley,[]
ruby cookbook,lucas carlson/leonard richardson,3.84,9780596523695,eng,873,166,4,7/29/2006,O'Reilly Media,[]
ruby ann's down home trailer park cookbook,ruby ann boxcar,4.12,9780806523491,eng,240,50,5,5/3/2005,Citadel,['cooking']
ruby ann's down home trailer park bbqin' cookbook,ruby ann boxcar,4.08,9780806525365,eng,206,13,2,5/3/2005,Citadel,[]
rails cookbook: recipes for rapid web development with ruby,rob orsini,3.48,9780596527310,eng,514,64,1,1/1/2007,O'Reilly Media,[]
anna karenina,leo tolstoy/richard pevear/larissa volokhonsky,4.05,9780143035008,eng,838,16643,1851,5/31/2004,Penguin Classics,"['fiction', 'russian literature', 'classic literature', 'literature', 'drama', 'romance', 'history', 'russia', 'love', 'marriage', 'classics', 'biography']"
anna karenina,leo tolstoy/david magarshack/priscilla meyer,4.05,9780451528612,eng,960,109420,5696,11/5/2002,Signet,"['fiction', 'russian literature', 'classic literature', 'literature', 'drama', 'romance', 'history', 'russia', 'love', 'marriage', 'classics', 'biography']"
anna karenina,leo tolstoy/richard pevear/larissa volokhonsky/john bayley,4.05,9780140449174,eng,837,2904,309,1/30/2003,Penguin Books,"['fiction', 'russian literature', 'classic literature', 'literature', 'drama', 'romance', 'history', 'russia', 'love', 'marriage', 'classics', 'biography']"
cliffsnotes on tolstoy's anna karenina,marianne sturman/leo tolstoy,3.85,9780822001836,eng,80,16,3,11/26/1965,Cliffs Notes,[]
anna karenina,leo tolstoy/amy mandelker/constance garnett,4.05,9781593080273,eng,803,9564,726,7/1/2003,Barnes & Noble Classics,"['fiction', 'russian literature', 'classic literature', 'literature', 'drama', 'romance', 'history', 'russia', 'love', 'marriage', 'classics', 'biography']"
anna karenina,leo tolstoy/louise maude/aylmer maude,4.05,9780486437965,eng,752,474,72,11/23/2004,Dover Publications,"['fiction', 'russian literature', 'classic literature', 'literature', 'drama', 'romance', 'history', 'russia', 'love', 'marriage', 'classics', 'biography']"
anna karenina,leo tolstoy/constance garnett/amy mandelker,4.05,9781593081775,eng,803,303,48,8/26/2004,Barnes & Noble,"['fiction', 'russian literature', 'classic literature', 'literature', 'drama', 'romance', 'history', 'russia', 'love', 'marriage', 'classics', 'biography']"
dinner with anna karenina,gloria goldreich,2.99,9780778322276,eng,360,411,65,1/28/2006,Mira Books,"['fiction', 'divorce']"
tolstoy: anna karenina,anthony thorlby,4.19,9780521313254,eng,128,1204,33,11/26/1987,Cambridge University Press,[]
untouchable,mulk raj anand/e.m. forster,3.71,9780140183955,eng,160,3429,279,7/3/1990,Penguin Books,['fiction']
the untouchable,john banville,3.95,9780679767473,eng,367,2163,216,6/30/1998,Vintage,"['fiction', 'history', 'literature']"
the untouchables,eliot ness/oscar fraley,3.89,9781568491981,eng,256,613,31,2/1/1996,Buccaneer Books,[]
untouchables: my family's triumphant journey out of the caste system in modern india,narendra jadhav,3.82,9780743270793,en-US,320,308,40,9/27/2005,Scribner,['biography']
dalit: the black untaouchables of india,v.t. rajshekar/y.n. kly,4.2,9780932863058,eng,100,10,0,1/28/1995,Clarity Press,"['sociology', 'social science']"
growing up untouchable in india: a dalit autobiography,vasant moon/gail omvedt/eleanor zelliot,3.65,9780742508804,eng,224,16,4,12/20/2000,Rowman & Littlefield Publishers,[]
the evidence-based social work skills book,barry r. cournoyer,3.4,9780205358625,eng,216,10,0,9/22/2003,Pearson,[]
"a wrinkle in time: a guide for using ""a wrinkle in time"" in the classroom",john carratello/patty carratello/theresa wright,4.0,9781557344038,eng,48,17,0,9/28/1991,Teacher Created Resources,[]
wrinkles in time,george smoot/keay davidson,4.01,9780380720446,eng,360,1035,23,10/1/1994,Harper Perennial,[]
a wrinkle in time: with related readings (a wrinkle in time quintet #1),madeleine l'engle,4.0,9780821925324,eng,250,36,6,5/1/2002,EMC/Paradigm Publishing,"['love', 'fiction', 'science fiction', 'time travel', 'classics', 'picture books']"
literature circle guide: a wrinkle in time,tara maccarthy,3.6,9780439271691,eng,32,15,0,1/1/2002,Teaching Resources,[]
una arruga en el tiempo – a wrinkle in time,madeleine l'engle,4.0,9780606105262,spa,205,6,1,6/1/1984,Turtleback Books,"['love', 'fiction', 'science fiction', 'time travel', 'classics', 'picture books']"
the long shadow (the morland dynasty  #6),cynthia harrod-eagles,4.12,9780751506433,eng,367,376,17,6/1/1994,Little  Brown Book Group,[]
a long shadow (inspector ian rutledge  #8),charles todd,4.11,9780060786717,eng,352,3086,237,1/3/2006,William Morrow,"['fiction', 'police']"
long way round: chasing shadows across the world,ewan mcgregor/charley boorman/robert uhlig,3.94,9780743499347,en-US,320,352,44,11/1/2005,Atria Books,"['biography', 'travel', 'cycling']"
a shadow in summer (long price quartet  #1),daniel abraham,3.6,9780765313409,eng,331,9852,633,3/7/2006,Tor Books,['fiction']
new hope for the dead (hoke mosely #2),charles willeford/james lee burke,3.9,9781400032495,eng,244,821,78,8/10/2004,Vintage Crime/Black Lizard,"['fiction', 'police', 'mystery']"
sideswipe: a hoke moseley novel,charles willeford/lawrence block,4.05,9781400032488,eng,215,731,72,3/8/2005,Vintage Crime/Black Lizard,"['fiction', 'police', 'mystery', 'american', 'literary criticism']"
miami blues (hoke moseley #1),charles willeford/elmore leonard,3.94,9781400032464,eng,191,2897,178,8/10/2004,Vintage Crime/Black Lizard,"['police', 'fiction', 'mystery']"
the burnt orange heresy (vintage crime/black lizard),charles willeford,3.89,9780679732525,eng,144,98,11,10/3/1990,Vintage,['fiction']
i am charlotte simmons,tom wolfe,3.42,9780312424442,eng,738,20888,1688,8/30/2005,Picador USA,['fiction']
poetry for young people: edward lear,edward lear/laura huliska-beith/edward mendelson,3.91,9780806930770,eng,48,66,19,10/1/2001,Sterling,['biography']
the puffin book of nonsense verse,quentin blake,4.02,9780140366600,eng,287,81,6,10/3/1996,Puffin,"['fiction', 'literature', 'poetry', 'anthologies', 'collections']"
henry miller on writing,henry miller/thomas h. moore,4.22,9780811201124,eng,217,981,52,2/1/1964,New Directions Publishing,[]
quiet days in clichy,henry miller,3.69,9780802130167,eng,154,3381,141,1/13/1994,Grove Press,[]
tropic of cancer,henry miller/jiří níl,3.68,9780802131782,eng,318,53206,2376,1/6/1994,Grove Press,"['fiction', 'history']"
tropic of capricorn,henry miller,3.78,9780802151827,eng,348,14872,459,1/13/1994,Grove Press,"['fiction', 'humor']"
nexus (the rosy crucifixion  #3),henry miller,4.1,9780802151780,eng,316,3261,58,1/13/1994,Grove Press,[]
sexus (the rosy crucifixion  #1),henry miller,3.98,9780802151803,eng,506,7805,251,1/12/1994,Grove Press,"['biography', 'fiction']"
the air-conditioned nightmare,henry miller,3.83,9780811201063,eng,292,2699,142,1/17/1970,New Directions,"['travel', 'united states']"
the portrait of a lady,henry james/patricia crick,3.78,9780141439631,eng,797,61640,1951,9/30/2003,Penguin Classics,"['fiction', 'marriage', 'classic literature', 'historical fiction', 'romance', 'film']"
the portrait of a lady,henry james/gabriel brownstein/mary cregan,3.78,9781593080969,eng,635,392,41,1/16/2004,Barnes  Noble Classics,"['fiction', 'roman', 'italy']"
writing,marguerite duras,3.75,9781571290533,eng,91,778,44,5/6/1999,Brookline Books,[]
the war,marguerite duras/barbara bray,3.85,9781565842212,eng,192,963,65,8/1/1994,The New Press,['biography']
the ravishing of lol stein,marguerite duras/richard seever,3.66,9780394743042,en-US,181,2057,128,3/12/1986,Pantheon,[]
love letters,kahlil gibran/suheil bushrui/salma h. al-kuzbari,3.68,9781851681822,eng,178,203,8,7/1/1999,One World (UK),[]
kahlil gibran: his life and world,jean gibran/جبران خليل جبران/kahlil gibran,4.21,9781566562492,eng,464,35,2,4/1/1998,Interlink Publishing Group,"['biography', 'lebanon', 'united states', 'philosophy']"
the beloved: reflections on the path of the heart,kahlil gibran/john walbridge/robin waterfield,4.19,9780140195538,eng,102,328,16,1/1/1998,Penguin Books,[]
jesus the son of man,kahlil gibran/جبران خليل جبران,3.98,9780394431246,eng,216,1308,82,2/21/1995,Knopf,"['fiction', 'biography']"
the broken wings,kahlil gibran/جبران خليل جبران/anthony rizcallah ferris,3.92,9780806501901,eng,132,6432,517,3/3/2003,Citadel,"['fiction', 'literature']"
sand and foam,kahlil gibran/جبران خليل جبران,4.08,9780679439202,eng,100,3015,217,6/14/2011,Knopf,[]
treasure island,robert louis stevenson,3.83,9780753453803,eng,311,318753,6734,9/15/2001,Kingfisher,"['fiction', 'pirates', 'literature', 'history', 'classic literature', 'fantasy', 'graphic novels', 'suspense', 'classics', 'literary criticism', 'nonfiction', 'thriller', 'historical fiction', 'english literature']"
treasure island,robert louis stevenson/scott mckowen,3.83,9781402714573,en-US,213,420,42,10/1/2004,Sterling Children's Books,"['fiction', 'pirates', 'literature', 'history', 'classic literature', 'fantasy', 'graphic novels', 'suspense', 'classics', 'literary criticism', 'nonfiction', 'thriller', 'historical fiction', 'english literature']"
treasure island,robert louis stevenson/n.c. wyeth/timothy meis,3.83,9780689854682,eng,64,104,14,7/1/2003,Atheneum Books for Young Readers,"['fiction', 'pirates', 'literature', 'history', 'classic literature', 'fantasy', 'graphic novels', 'suspense', 'classics', 'literary criticism', 'nonfiction', 'thriller', 'historical fiction', 'english literature']"
treasure island,robert louis stevenson/milo winter,3.83,9780517221143,en-US,272,56,4,9/3/2002,Gramercy Books,"['fiction', 'pirates', 'literature', 'history', 'classic literature', 'fantasy', 'graphic novels', 'suspense', 'classics', 'literary criticism', 'nonfiction', 'thriller', 'historical fiction', 'english literature']"
treasure island (great illustrated classics),deidre s. laiken/a.j. mcallister/robert louis stevenson,4.05,9781577658054,eng,232,91,16,1/31/2006,Abdo Publishing Company,"['fiction', 'pirates', 'literature', 'history', 'classic literature', 'fantasy', 'graphic novels', 'suspense', 'classics', 'literary criticism', 'nonfiction', 'thriller', 'historical fiction', 'english literature']"
100 years of lynchings,ralph ginzburg,4.61,9780933121188,eng,270,88,4,11/22/1996,Black Classic Press,[]
cien años de soledad,gabriel garcía márquez,4.07,9780785950103,spa,448,63,7,1/1/1990,French & European,"['fiction', 'fantasy', 'literature']"
on beyond zebra!,dr. seuss,4.04,9780394800844,eng,64,2815,164,9/12/1955,Random House Books for Young Readers,"['animals', 'poetry']"
the wedding clause,debbie raleigh,3.6,9780821778258,eng,256,95,13,6/7/2005,Zebra,"['marriage', 'fiction']"
the zebra wall,kevin henkes,3.44,9780060733032,eng,147,217,24,2/15/2005,Greenwillow Books,"['fiction', 'family']"
el perfume: historia de un asesino,patrick süskind,4.02,9788432216060,spa,239,4136,255,6/1/2002,Booket,"['historical fiction', 'psychological thriller', 'dark fantasy', 'murder mystery', 'love', 'fiction']"
the door into summer,robert a. heinlein,4.01,9780345413994,eng,304,17232,649,6/17/1997,Del Rey,"['science fiction', 'time travel', 'fiction', 'history']"
stranger in a strange land,robert a. heinlein,3.92,9780441788385,eng,528,251872,6241,10/1/1991,Ace,"['fiction', 'science fiction', 'religion', 'cults']"
to sail beyond the sunset,robert a. heinlein,3.87,9780441748600,en-US,434,10293,193,6/1/1988,Ace Books,['science fiction']
job: a comedy of justice,robert a. heinlein,3.78,9780345316509,en-US,439,15970,438,10/12/1985,Del Rey,"['science fiction', 'god', 'fiction']"
time for the stars (heinlein's juveniles  #10),robert a. heinlein,3.97,9780765314932,eng,256,6898,200,8/8/2006,Tor Books,"['science fiction', 'fiction']"
the long dark tea-time of the soul (dirk gently  #2),douglas adams,4.06,9780671742515,en-US,307,67803,1401,2/15/1991,Pocket Books,"['fiction', 'science fiction', 'english literature']"
the salmon of doubt (dirk gently  #3),douglas adams,3.93,9780345455291,eng,298,22091,746,4/26/2005,Del Rey,"['fiction', 'science fiction', 'english literature', 'short stories']"
wish you were here: the official biography of douglas adams,nick  webb,4.14,9780345476517,eng,368,2623,49,12/27/2005,Del Rey,['biography']
douglas adams's starship titanic,terry jones,3.6,9780345368430,eng,256,885,84,10/27/1998,Ballantine Books,[]
salmon of doubt: hitchhiking the galaxy one last time,douglas adams/christopher cerf,3.93,9781417622856,eng,336,5,0,7/1/2003,Turtleback Books,"['fiction', 'science fiction', 'english literature', 'short stories']"
the phantom tollbooth: a children's play in two acts,susan nanus/norton juster,4.13,9780573650963,eng,72,100,13,1/12/2011,Samuel French  Inc.,[]
on bullshit,harry g. frankfurt,3.57,9780691122946,eng,67,9358,995,1/30/2005,Princeton University Press,"['linguistics', 'psychology', 'communication']"
another bullshit night in suck city,nick flynn,3.78,9780393329407,eng,347,9318,907,9/12/2005,W. W. Norton & Company,"['family', 'biography']"
lincoln at gettysburg: the words that remade america,garry wills,4.14,9780671867423,en-US,317,120,15,6/12/1993,Simon & Schuster,['american history']
the gettysburg address,abraham lincoln/michael mccurdy,4.53,9780395883976,eng,32,5239,76,2/2/1998,HMH Books for Young Readers,"['history', 'nonfiction', 'politics', 'classic literature', 'fiction']"
underworld,don delillo,3.92,9780684848150,eng,827,1505,175,7/9/1998,Scribner,"['fiction', 'roman', 'history']"
libra,don delillo,3.99,9780140156041,eng,480,11857,564,5/1/1991,Penguin,"['fiction', 'presidents', 'literature', 'roman']"
americana,don delillo,3.43,9780140119480,eng,377,393,55,7/6/1989,Penguin Books,[]
running dog,don delillo,3.43,9780679722946,eng,256,1356,72,7/17/1989,Vintage Contemporaries,['fiction']
cosmopolis,don delillo,3.22,9780743244251,eng,224,460,41,4/6/2004,Scribner,['fiction']
great jones street,don delillo,3.48,9780140179170,eng,272,2492,145,1/1/1994,Penguin Books,['fiction']
the names,don delillo,3.64,9780679722953,eng,339,3100,212,7/17/1989,Vintage,['fiction']
against the day,thomas pynchon,4.13,9781594201202,eng,1085,5296,587,11/21/2006,Penguin Press,"['fiction', 'historical fiction']"
v.,thomas pynchon,3.96,9780060930219,eng,547,1415,177,7/5/2005,Harper Perennial Modern Classics,['fiction']
the crying of lot 49,thomas pynchon,3.69,9780060931674,eng,152,2161,230,4/1/1999,Harper Perennial,"['fiction', 'poetry']"
gravity's rainbow,thomas pynchon,4.01,9780140283389,eng,784,762,213,1/1/2000,Penguin Books,"['fiction', 'science fiction', 'biography', 'nonfiction', 'history', 'modern', '20th century']"
mason & dixon,thomas pynchon/christophe claro/brice matthieussent,4.07,9780312423209,eng,773,8086,602,1/3/2004,Picador USA,"['fiction', 'history', 'historical fiction']"
vineland,thomas pynchon,3.69,9780141180632,en-US,385,702,69,9/1/1997,Penguin Classics,['fiction']
slow learner: early stories,thomas pynchon,3.5,9780316724432,eng,193,334,34,4/30/1985,Back Bay Books,[]
been down so long it looks like up to me,richard fariña/thomas pynchon,3.8,9780140189308,eng,352,2473,220,8/29/1996,Penguin Classics,['fiction']
